variant,f1_illicit,auc_roc,precision_illicit,recall_illicit,epoch,epochs_trained,not_corrected,missing
CARE-GNN single relation (tdt only),0.6603015075376885,0.8969856500797568,0.7243660418963617,0.6066481994459834,260,500,,
GraphSAGE,0.6433990895295902,0.905885743861296,0.7114093959731543,0.5872576177285319,90,100,,
CARE-GNN w/o RL selector (fixed p=0.5),0.5829191143244464,0.86255880302743,0.5707964601769911,0.5955678670360111,500,500,,
CARE-GNN (full),0.5513851653261841,0.8527622131779798,0.5341991341991342,0.569713758079409,120,500,,
"CARE-GNN w/o label-aware similarity (λ1=0, redefined for v3 -- see note)",0.4983772087991345,0.854846010428109,0.4088757396449704,0.6380424746075716,400,500,,
GAT,0.3265686091975424,0.8861601942239317,0.20452425373134328,0.8097876269621422,90,100,,
Isolation Forest,0.13294052660651814,0.8162266884216616,0.07120315581854043,1.0,,,True,
